Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Street Transit,23488.12,65957.75333333334,35.61085515041294
Street Transit,23549.52666666667,66134.08,35.60876127205015
Street Transit,25382.940000000002,71285.08499999999,35.60764499333908
Street Transit,22596.38,63462.145,35.60607666192185
Street Transit,18569.585,52156.995,35.60324938198606
Street Transit,24255.295,68130.20999999999,35.60138006326415
Street Transit,22026.975,61872.385,35.60065609237465
Street Transit,22334.183333333334,62735.56666666667,35.600512627871375
Street Transit,24416.170000000002,68584.31333333334,35.600225202128335
Street Transit,21691.573333333334,60934.56333333333,35.59814356045001
Street Transit,23419.09,65791.325,35.5960151281343
Street Transit,21019.823333333334,59053.19999999999,35.594723627734545
Street Transit,17684.015,49682.195,35.5942707442777
Street Transit,19092.58,53639.495,35.59425755220104
Street Transit,16124.265,45304.35,35.59098629601793
Street Transit,27317.05,76764.855,35.58535999318959
Correction & Detention,12099.63,34002.07,35.58498056147758
Street Transit,22905.36,64369.585,35.584134960633975
Street Transit,15720.703333333333,44181.323333333334,35.582237351122046
Street Transit,22008.63,61857.28333333333,35.579690561903654
Street Transit,13951.7,39212.95,35.57931754688184
Correction & Detention,26918.23,75661.20999999999,35.57731894586407
Street Transit,14025.89,39437.13,35.565189454709305
Street Transit,12588.08,35396.454999999994,35.563109356572575
Street Transit,22015.11,61910.405,35.55962846632969
Street Transit,17323.239999999998,48717.685,35.55842195703675
Street Transit,14625.69,41133.17,35.55692401047622
Street Transit,20850.055,58649.17,35.55046900066958
Street Transit,22468.756666666668,63204.40333333334,35.54935333883119
Street Transit,19031.649999999998,53542.51333333333,35.544932083252974
Street Transit,18402.760000000002,51774.799999999996,35.54385531185056
Street Transit,16819.43,47323.95,35.54105268051378
Street Transit,22664.943333333333,63772.4,35.540364379156706
Street Transit,20119.74666666667,56614.02333333334,35.53845051464575
Street Transit,2597.69,7309.54,35.53835125055749
Street Transit,19157.186666666665,53906.34666666667,35.53790574072168
Street Transit,21700.855,61065.21000000001,35.53718230069134
Street Transit,15804.269999999999,44489.595,35.52351960048186
Street Transit,28086.445,79071.025,35.52052727279051
Street Transit,23619.15,66512.265,35.51096929265603
Street Transit,22261.91,62691.0,35.5105358025873
